count,geometry,,,
1,<Point,<coordinates,"-0.136583,51.514914",/coordinates
1,<Point,<coordinates,"-0.135653,51.514496",/coordinates
2,<Point,<coordinates,"-0.135578,51.514743",/coordinates
1,<Point,<coordinates,"-0.13486,51.514467",/coordinates
1,<Point,<coordinates,"-0.13469,51.514453",/coordinates
1,<Point,<coordinates,"-0.134818,51.514845",/coordinates
1,<Point,<coordinates,"-0.135704,51.514389",/coordinates
1,<Point,<coordinates,"-0.135561,51.514399",/coordinates
2,<Point,<coordinates,"-0.135649,51.514335",/coordinates
1,<Point,<coordinates,"-0.135415,51.514224",/coordinates
1,<Point,<coordinates,"-0.135576,51.51422",/coordinates
2,<Point,<coordinates,"-0.135357,51.514145",/coordinates
3,<Point,<coordinates,"-0.135475,51.514108",/coordinates
2,<Point,<coordinates,"-0.136226,51.514359",/coordinates
1,<Point,<coordinates,"-0.136328,51.514326",/coordinates
1,<Point,<coordinates,"-0.136222,51.514544",/coordinates
1,<Point,<coordinates,"-0.136117,51.514569",/coordinates
1,<Point,<coordinates,"-0.13603,51.514586",/coordinates
1,<Point,<coordinates,"-0.136266,51.514612",/coordinates
2,<Point,<coordinates,"-0.136421,51.514575",/coordinates
3,<Point,<coordinates,"-0.136935,51.514507",/coordinates
3,<Point,<coordinates,"-0.136931,51.514274",/coordinates
1,<Point,<coordinates,"-0.136799,51.514293",/coordinates
1,<Point,<coordinates,"-0.13678,51.514058",/coordinates
3,<Point,<coordinates,"-0.136696,51.514148",/coordinates
1,<Point,<coordinates,"-0.136712,51.513961",/coordinates
1,<Point,<coordinates,"-0.136123,51.514027",/coordinates
1,<Point,<coordinates,"-0.135958,51.514076",/coordinates
1,<Point,<coordinates,"-0.135883,51.514096",/coordinates
2,<Point,<coordinates,"-0.135788,51.514134",/coordinates
2,<Point,<coordinates,"-0.135849,51.514033",/coordinates
4,<Point,<coordinates,"-0.136008,51.513996",/coordinates
5,<Point,<coordinates,"-0.136099,51.51396",/coordinates
2,<Point,<coordinates,"-0.13617,51.513945",/coordinates
5,<Point,<coordinates,"-0.135485,51.513821",/coordinates
5,<Point,<coordinates,"-0.135374,51.513999",/coordinates
3,<Point,<coordinates,"-0.135582,51.513795",/coordinates
3,<Point,<coordinates,"-0.135679,51.513766",/coordinates
1,<Point,<coordinates,"-0.135814,51.513726",/coordinates
5,<Point,<coordinates,"-0.135905,51.513692",/coordinates
4,<Point,<coordinates,"-0.135992,51.513672",/coordinates
4,<Point,<coordinates,"-0.136217,51.513603",/coordinates
1,<Point,<coordinates,"-0.136579,51.513482",/coordinates
4,<Point,<coordinates,"-0.136675,51.513458",/coordinates
1,<Point,<coordinates,"-0.136764,51.513429",/coordinates
3,<Point,<coordinates,"-0.136877,51.513404",/coordinates
2,<Point,<coordinates,"-0.136953,51.513359",/coordinates
1,<Point,<coordinates,"-0.13723,51.513378",/coordinates
2,<Point,<coordinates,"-0.136651,51.513855",/coordinates
1,<Point,<coordinates,"-0.136503,51.513875",/coordinates
1,<Point,<coordinates,"-0.137367,51.513565",/coordinates
2,<Point,<coordinates,"-0.137422,51.513616",/coordinates
3,<Point,<coordinates,"-0.137472,51.513742",/coordinates
1,<Point,<coordinates,"-0.1383,51.513918",/coordinates
1,<Point,<coordinates,"-0.137363,51.513772",/coordinates
4,<Point,<coordinates,"-0.137995,51.513502",/coordinates
2,<Point,<coordinates,"-0.138139,51.513712",/coordinates
